claimId,userId,contractId,policyType,firstName,lastName,birthDate_day,birthDate_month,birthDate_year,profession,phone,email,postalAddress,incidentType,incidentDate,incidentTime,incidentLocation,incidentDescription,damages,thirdPartyInvolved,thirdPartyDetails_name,thirdPartyDetails_contactInfo,thirdPartyDetails_registrationId,thirdPartyDetails_insurerContact,supportingFilesCount,status,createdAt,label,indemnity,isCompatible,isDuplicate
202709be-dbc2-4c7d-8349-2a650bd0d148,b934649a-f2bf-4993-9551-9459987332be,5478c786-7106-4509-a063-1499a27c40d7,habitation,Marie,Lemoine,5,10,1961,Enseignant,0653623487,marie.lemoine@example.com,96 Rue Victor Hugo Nice,incendie,2023-10-29,21:51,Nice,Inondation à Nice,Frais médicaux,False,,,,,1,pending,2025-07-01 18:28:40,valide,0,True,False
7f09ffec-b82f-4ef9-b9e6-3a5ed4a21b37,604c0368-0c3d-45b0-a24d-13666af91692,ef729fd4-a6d0-493a-8b49-df75a538a9f7,automobile,Jean,Moreau,7,11,1978,Artisan,0691847649,jean.moreau@example.com,12 Rue des Lilas Nice,incendie,2020-12-28,21:25,Nice,Inondation à Nice,Pare-chocs endommagé,False,,,,,1,approved,2025-07-01 18:28:40,suspicieux,0,False,False
d8f403ed-f180-48ed-ab72-7ef08bb30d14,5a571f6d-1aa3-4802-9f65-4331a71bac1e,a72a8b10-e2e8-4f45-a103-73241afe42c5,habitation,Luc,Lefevre,6,12,1972,Commerçant,0643546480,luc.lefevre@example.com,76 Rue des Lilas Strasbourg,dégât des eaux,2020-01-02,17:53,Strasbourg,Vol d’objets à Strasbourg,Frais médicaux,False,,,,,2,approved,2025-07-01 18:28:40,suspicieux,0,True,True
c34d2d46-f4b3-45df-b723-6a7c2d53c793,eeddf27a-c371-481a-831b-363308795bd1,b70d1d69-116f-4402-aa2d-e8ac5c24dd4b,habitation,Sophie,Lemoine,27,5,1979,Artisan,0632341731,sophie.lemoine@example.com,90 Rue Victor Hugo Strasbourg,dégât des eaux,2025-01-02,00:02,Strasbourg,Inondation à Strasbourg,Frais médicaux,True,Anna Dupont,0629944387,,,4,rejected,2025-07-01 18:28:40,valide,0,True,False
789b8d93-c62f-48cb-971d-7343b2276c88,cce60048-dde6-488b-b57d-323090b8735d,8c052256-b5d7-41c5-b309-f67903bbd4dc,habitation,Sophie,Girard,13,9,1982,Médecin,0686410977,sophie.girard@example.com,78 Rue Victor Hugo Nantes,accident,2020-06-18,17:50,Nantes,Collision à Nantes,Équipements inondés,False,,,,,0,approved,2025-07-01 18:28:40,suspicieux,0,False,False
c92a91e7-2be5-4cbe-8bca-eafdd31bd609,8d50bda8-ed98-4061-b8e8-9b462371444c,8caa37dd-1d5d-4efd-b315-b3489a23beeb,voyage,Pierre,Lemoine,10,11,1968,Enseignant,0693952534,pierre.lemoine@example.com,9 Rue Victor Hugo Montpellier,vol,2023-09-27,20:20,Montpellier,Vol d’objets à Montpellier,Pare-chocs endommagé,True,Sophie Lemoine,0633572013,,,0,rejected,2025-07-01 18:28:40,suspicieux,0,True,False
99e69989-d801-48b8-85a4-cb247bb1569f,bfdfdb42-d2b9-4e13-8070-3f50c133dfd7,b451fe01-7048-473e-a2a7-4772ea587dc3,habitation,Marie,Dupont,18,2,1967,Enseignant,0673339163,marie.dupont@example.com,34 Rue Victor Hugo Nice,maladie,2020-10-03,22:45,Nice,Inondation à Nice,Pare-chocs endommagé,False,,,,,2,pending,2025-07-01 18:28:40,suspicieux,0,False,False
c51a4f6d-64e3-4274-88ff-0fd9b80706d9,a887619a-0391-49ce-b691-4a6b9101d9a2,c4a69bf7-7ef6-4a25-9b26-1bf242377045,voyage,Thomas,Bonnet,16,11,1977,Enseignant,0622209308,thomas.bonnet@example.com,41 Rue des Lilas Toulouse,incendie,2021-01-08,04:36,Toulouse,Inondation à Toulouse,Pare-chocs endommagé,True,Clara Fournier,0693801562,REG8755,,1,pending,2025-07-01 18:28:40,suspicieux,0,False,False
4231c680-a819-423a-bf7b-1297165dcedf,f56d2693-1921-4781-8fde-4a31305d8ab7,73df939a-1876-4ee2-af4a-34604c2265ec,voyage,Marie,Andre,2,9,1983,Commerçant,0659700276,marie.andre@example.com,46 Rue Victor Hugo Montpellier,vol,2022-06-15,08:24,Montpellier,Collision à Montpellier,Frais médicaux,False,,,,,3,pending,2025-07-01 18:28:40,valide,0,True,False
a7af5d53-8c93-405f-8f1c-4bd79be548f9,c541c765-6e43-40bd-9637-107d18b124cc,0cf85a78-cf1b-4717-807f-c2e81e9d8bb8,professionnelle,Emma,Moreau,27,2,1995,Artisan,0613049361,emma.moreau@example.com,62 Rue des Lilas Nice,accident,2025-01-19,18:03,Nice,Incendie dans une maison à Nice,Équipements inondés,False,,,,,5,pending,2025-07-01 18:28:40,valide,0,True,False
